time,game,money_spent,balance
03/11/2024 14:07:07,slotMachine,100,8600
03/11/2024 14:07:08,slotMachine,100,10000
03/11/2024 14:07:08,slotMachine,100,9900
03/11/2024 14:07:08,slotMachine,100,9800
03/11/2024 14:07:09,slotMachine,100,9700
03/11/2024 14:07:09,slotMachine,100,9600
03/11/2024 14:07:53,slotMachine,100,900
03/11/2024 14:08:11,slotMachine,100,2400
03/11/2024 14:08:48,slotMachine,100,900
03/11/2024 14:09:19,slotMachine,100,900
03/11/2024 14:09:20,slotMachine,100,3800
03/11/2024 14:09:20,slotMachine,100,3700
03/11/2024 14:09:21,slotMachine,100,5100
03/11/2024 14:09:22,slotMachine,100,6500
03/11/2024 14:09:22,slotMachine,100,6400
03/11/2024 14:10:10,slotMachine,100,2400
03/11/2024 14:10:40,slotMachine,100,900
03/11/2024 14:10:58,slotMachine,100,900
03/11/2024 14:11:18,slotMachine,100,900
03/11/2024 14:11:50,slotMachine,100,900
03/11/2024 14:12:33,slotMachine,100,900
03/11/2024 14:12:46,slotMachine,100,900
03/11/2024 14:13:32,slotMachine,100,900
03/11/2024 14:13:48,slotMachine,100,900
03/11/2024 14:14:21,slotMachine,100,900
03/11/2024 14:14:56,slotMachine,100,2400
03/11/2024 14:15:25,slotMachine,100,900
03/11/2024 14:15:35,slotMachine,100,2400
03/11/2024 14:15:45,slotMachine,100,900
03/11/2024 14:16:09,slotMachine,100,900
03/11/2024 14:17:20,slotMachine,100,900
03/11/2024 14:17:37,slotMachine,100,900
03/11/2024 14:17:58,slotMachine,100,900
03/11/2024 14:18:29,slotMachine,100,900
03/11/2024 14:18:57,slotMachine,100,900
03/11/2024 14:19:07,slotMachine,100,900
03/11/2024 14:19:36,slotMachine,100,2400
03/11/2024 14:19:54,slotMachine,100,2400
03/11/2024 14:22:09,slotMachine,100,900
03/11/2024 14:22:10,slotMachine,100,800
03/11/2024 14:22:10,slotMachine,100,12700
03/11/2024 14:22:11,slotMachine,100,12600
03/11/2024 14:22:12,slotMachine,100,12500
03/11/2024 14:22:12,slotMachine,100,15400
03/11/2024 14:22:13,slotMachine,100,15300
03/11/2024 14:22:14,slotMachine,100,21200
03/11/2024 14:24:17,slotMachine,100,150900
03/11/2024 14:27:44,slotMachine,100,150900
03/11/2024 14:28:32,slotMachine,100,150900
03/11/2024 14:29:43,slotMachine,100,150900
03/11/2024 14:30:00,slotMachine,100,150900
03/11/2024 14:30:31,slotMachine,100,150900
03/11/2024 14:31:02,slotMachine,100,150900
03/11/2024 14:32:26,slotMachine,100,300800
03/11/2024 14:33:11,slotMachine,100,900
03/11/2024 14:33:16,slotMachine,100,800
03/11/2024 14:33:18,slotMachine,100,700
03/11/2024 14:33:19,slotMachine,100,600
03/11/2024 14:34:00,slotMachine,100,900
03/11/2024 14:34:22,slotMachine,100,900
03/11/2024 14:34:44,slotMachine,100,900
03/11/2024 14:34:45,slotMachine,100,800
03/11/2024 14:34:47,slotMachine,100,700
03/11/2024 14:36:16,slotMachine,100,2400
03/11/2024 14:36:25,slotMachine,100,900
03/11/2024 14:36:35,slotMachine,100,900
03/11/2024 14:36:50,slotMachine,100,900
03/11/2024 14:38:41,slotMachine,100,900
03/11/2024 14:39:06,slotMachine,100,900
03/11/2024 14:39:57,slotMachine,100,900
03/11/2024 14:40:00,slotMachine,100,800
03/11/2024 14:40:21,slotMachine,100,900
03/11/2024 14:40:24,slotMachine,100,800
03/11/2024 14:40:33,slotMachine,100,900
03/11/2024 14:40:36,slotMachine,100,800
03/11/2024 14:40:50,slotMachine,100,900
03/11/2024 14:40:56,slotMachine,100,800
03/11/2024 14:40:57,slotMachine,100,700
03/11/2024 14:40:59,slotMachine,100,600
03/11/2024 14:41:00,slotMachine,100,500
03/11/2024 14:41:02,slotMachine,100,400
03/11/2024 14:41:02,slotMachine,100,1800
03/11/2024 14:41:03,slotMachine,100,4700
03/11/2024 14:41:38,slotMachine,100,900
03/11/2024 14:41:39,slotMachine,100,800
03/11/2024 14:41:40,slotMachine,100,700
03/11/2024 14:41:41,slotMachine,100,2100
03/11/2024 14:41:42,slotMachine,100,2000
03/11/2024 14:41:43,slotMachine,100,1900
03/11/2024 14:41:43,slotMachine,100,1800
03/11/2024 14:41:43,slotMachine,100,1700
03/11/2024 14:41:45,slotMachine,100,4600
03/11/2024 14:44:26,slotMachine,100,900
03/11/2024 14:45:05,slotMachine,100,900
03/11/2024 14:53:30,slotMachine,100,900
03/11/2024 14:53:53,slotMachine,100,900
03/11/2024 14:54:03,slotMachine,100,6900
03/11/2024 14:54:21,slotMachine,100,3900
03/11/2024 14:54:35,slotMachine,100,900
03/11/2024 14:54:43,slotMachine,100,6900
03/11/2024 14:55:15,slotMachine,100,900
03/11/2024 14:55:42,slotMachine,100,900
03/11/2024 14:55:43,slotMachine,100,800
03/11/2024 14:55:43,slotMachine,100,700
03/11/2024 14:55:44,slotMachine,100,600
03/11/2024 14:55:50,slotMachine,100,900
03/11/2024 14:55:55,slotMachine,100,800
03/11/2024 14:57:06,slotMachine,100,900
03/11/2024 14:58:04,slotMachine,100,3900
03/11/2024 14:58:26,slotMachine,100,2400
03/11/2024 14:58:38,slotMachine,100,900
03/11/2024 14:59:21,slotMachine,100,900
03/11/2024 14:59:37,slotMachine,100,900
03/11/2024 14:59:44,slotMachine,100,900
03/11/2024 15:00:08,slotMachine,100,900
03/11/2024 15:00:17,slotMachine,100,900
03/11/2024 15:00:41,slotMachine,100,900
03/11/2024 15:01:07,slotMachine,100,2400
03/11/2024 15:01:19,slotMachine,100,900
03/11/2024 15:01:33,slotMachine,100,900
03/11/2024 15:01:51,slotMachine,100,900
03/11/2024 15:04:17,slotMachine,100,900
03/11/2024 16:27:10,slotMachine,100,900
03/11/2024 16:27:11,slotMachine,100,800
03/11/2024 16:27:11,slotMachine,100,2200
03/11/2024 16:27:12,slotMachine,100,2100
03/11/2024 16:27:13,slotMachine,100,2000
03/11/2024 16:27:13,slotMachine,100,1900
03/11/2024 16:27:14,slotMachine,100,1800
03/11/2024 16:27:15,slotMachine,100,13700
03/11/2024 16:27:15,slotMachine,100,13600
03/11/2024 16:27:15,slotMachine,100,13500
